timestamp,success_rate
0,0.9873417721518988
1,0.9738562091503268
2,0.9933333333333333
3,0.9790209790209791
4,1.0
5,0.9790209790209791
6,0.9942528735632183
7,0.9612903225806452
8,0.9784172661870504
9,0.9934640522875817
10,0.9785714285714285
11,0.9708029197080292
12,0.967948717948718
13,0.9929078014184397
14,0.7103448275862069
15,0.9668874172185431
16,0.9695121951219512
17,0.9929577464788732
18,0.9870967741935484
19,0.9795918367346939
20,0.9753086419753086
21,0.9632352941176471
22,0.9790209790209791
23,0.9864864864864865
