order_id,customer_id,order_date,order_amount,payment_status
50190,2037,2025-01-20,631.33,Paid
50281,2033,2025-01-04,282.9,Processing
50366,2034,2025-02-06,169.61,Paid
50415,2011,2025-03-13,199.9,Processing
50578,2040,2025-02-15,379.65,Paid
50646,2009,2025-01-26,194.1,Paid
50958,2044,2025-01-16,261.72,Paid
50968,2005,2025-03-21,61.85,Paid
51049,2018,2025-01-23,197.93,Processing
51159,2032,2025-03-03,125.22,Paid
51230,2019,2025-03-07,621.02,Paid
51362,2027,2025-03-23,371.47,Paid
51420,2032,2025-01-16,66.25,Paid
51516,2003,2025-01-21,242.63,Paid
51550,2043,2025-02-24,84.92,Paid
51696,2006,2025-03-14,47.3,Paid
51803,2029,2025-02-07,104.28,Paid
51839,2002,2025-01-10,333.49,Paid
52050,2030,2025-03-15,79.21,Paid
52168,2044,2025-02-09,104.86,Paid
52345,2029,2025-01-21,138.38,Paid
52354,2048,2025-03-07,82.99,Processing
52479,2044,2025-01-14,287.01,Refunded
52710,2040,2025-01-24,380.36,Paid
52808,2010,2025-01-02,202.74,Paid
52846,2040,2025-01-02,211.63,Paid
52847,2002,2025-02-11,91.23,Paid
52908,2045,2025-03-20,114.57,Paid
53050,2034,2025-02-25,40.81,Paid
53203,2043,2025-01-10,242.91,Paid
53468,2019,2025-03-04,126.31,Paid
53621,2008,2025-02-11,103.42,Paid
53840,2009,2025-01-10,221.24,Paid
53899,2017,2025-01-12,398.66,Paid
54033,2022,2025-03-19,259.26,Paid
54068,2037,2025-03-14,239.79,Paid
54071,2012,2025-01-01,38.86,Paid
54264,2047,2025-03-06,21.12,Paid
54267,2041,2025-01-21,114.83,Paid
54356,2042,2025-03-14,240.53,Paid
54368,2030,2025-03-04,54.59,Paid
54380,2001,2025-02-18,244.66,Paid
54427,2008,2025-01-26,121.16,Paid
54658,2002,2025-03-02,127.42,Paid
54669,2006,2025-03-19,55.11,Paid
54695,2010,2025-01-07,68.88,Paid
54858,2047,2025-03-21,57.8,Paid
54880,2033,2025-01-14,234.06,Paid
54983,2033,2025-02-26,569.53,Paid
54997,2023,2025-03-12,223.79,Paid
