customer_id,customer_name,segment,signup_date,status
1023,Customer_1023,Retail,2024-02-27,Active
1851,Customer_1851,Retail,2024-11-09,Active
1852,Customer_1852,SMB,2024-08-26,Active
1853,Customer_1853,Retail,2024-12-26,Pending
1854,Customer_1854,Enterprise,2024-01-02,Active
1855,Customer_1855,Retail,2024-09-24,Active
1856,Customer_1856,Retail,2024-03-08,Active
1857,Customer_1857,Retail,2024-12-01,Active
1858,Customer_1858,Retail,2024-10-20,Active
1859,Customer_1859,SMB,2024-03-06,Active
1860,Customer_1860,Retail,2024-07-20,Active
1861,Customer_1861,SMB,2024-07-25,Active
1862,Customer_1862,Retail,2024-11-18,Active
1863,Customer_1863,SMB,2024-11-19,Active
1864,Customer_1864,Retail,2024-05-19,Active
1865,Customer_1865,Retail,2024-11-24,Active
1866,Customer_1866,SMB,2024-12-10,Dormant
1867,Customer_1867,Retail,2024-08-24,Pending
1868,Customer_1868,Retail,2024-12-09,Pending
1869,Customer_1869,Enterprise,2024-04-05,Pending
1870,Customer_1870,Enterprise,2024-05-08,Dormant
1871,Customer_1871,Retail,2024-07-09,Active
1872,Customer_1872,Retail,2024-08-18,Active
1873,Customer_1873,SMB,2024-10-20,Active
1874,Customer_1874,Retail,2024-06-12,Active
1875,Customer_1875,Retail,2024-02-07,Active
1876,Customer_1876,Retail,2024-03-13,Active
1877,Customer_1877,SMB,2024-03-27,Active
1878,Customer_1878,SMB,2024-02-11,Active
1879,Customer_1879,Retail,2024-08-06,Dormant
1880,Customer_1880,Retail,2024-01-01,Active
1881,Customer_1881,Retail,2024-07-08,Active
1882,Customer_1882,SMB,2024-05-16,Active
1883,Customer_1883,Retail,2024-11-05,Active
1884,Customer_1884,Retail,2024-04-06,Pending
1885,Customer_1885,SMB,2024-06-19,Active
1886,Customer_1886,Retail,2024-09-12,Active
1887,Customer_1887,SMB,2024-11-14,Active
1888,Customer_1888,Retail,2024-07-16,Active
1889,Customer_1889,Retail,2024-01-13,Active
1890,Customer_1890,Retail,2024-07-21,Active
1891,Customer_1891,SMB,2024-05-13,Active
1892,Customer_1892,Enterprise,2024-02-04,Active
1893,Customer_1893,Enterprise,2024-12-06,Active
1894,Customer_1894,Retail,2024-10-27,Dormant
1895,Customer_1895,SMB,2024-07-27,Active
1896,Customer_1896,Retail,2024-05-25,Pending
1897,Customer_1897,Retail,2024-03-01,Active
1898,Customer_1898,Enterprise,2024-04-25,Active
1899,Customer_1899,Retail,2024-04-02,Active
1900,Customer_1900,Retail,2024-10-05,Active
1901,Customer_1901,Retail,2024-03-09,Active
1902,Customer_1902,Retail,2024-04-06,Active
1903,Customer_1903,Retail,2024-02-06,Active
1904,Customer_1904,SMB,2024-03-12,Dormant
1905,Customer_1905,Retail,2024-09-11,Active
1906,Customer_1906,Enterprise,2024-02-15,Active
1907,Customer_1907,Enterprise,2024-12-12,Active
1908,Customer_1908,Retail,2024-09-21,Active
1909,Customer_1909,Retail,2024-08-02,Active
1910,Customer_1910,Retail,2024-06-03,Active
1911,Customer_1911,SMB,2024-12-26,Active
1912,Customer_1912,Retail,2024-05-24,Active
1913,Customer_1913,SMB,2024-10-01,Active
1914,Customer_1914,Retail,2024-05-03,Active
1915,Customer_1915,SMB,2024-04-02,Pending
1916,Customer_1916,Retail,2024-09-19,Pending
1917,Customer_1917,Retail,2024-02-26,Active
1918,Customer_1918,Enterprise,2024-11-25,Active
1919,Customer_1919,SMB,2024-07-16,Active
1920,Customer_1920,Retail,2024-06-17,Active
1921,Customer_1921,Enterprise,2024-05-12,Active
1922,Customer_1922,Retail,2024-11-15,Active
1923,Customer_1923,Enterprise,2024-11-03,Active
1924,Customer_1924,SMB,2024-01-20,Active
1925,Customer_1925,Retail,2024-02-02,Active
1926,Customer_1926,Retail,2024-03-08,Pending
1927,Customer_1927,Retail,2024-08-15,Active
1928,Customer_1928,SMB,2024-07-06,Active
1929,Customer_1929,SMB,2024-09-20,Dormant
1930,Customer_1930,Retail,2024-12-01,Dormant
1931,Customer_1931,Retail,2024-08-23,Active
1932,Customer_1932,Enterprise,2024-07-03,Active
1933,Customer_1933,VIP,2024-04-26,Active
1934,Customer_1934,SMB,2024-09-15,Dormant
1935,Customer_1935,Retail,2024-06-15,Pending
1936,Customer_1936,Retail,2024-05-03,Active
1937,Customer_1937,Retail,2024-09-21,Active
1938,Customer_1938,Enterprise,2024-05-14,Active
1939,Customer_1939,Retail,2024-04-14,Active
1940,Customer_1940,SMB,2024-04-12,Active
1941,Customer_1941,Retail,2024-01-07,Pending
1942,Customer_1942,SMB,2024-09-03,Active
1943,Customer_1943,SMB,2024-12-13,Pending
1944,Customer_1944,Enterprise,2024-02-19,Pending
1945,Customer_1945,Retail,2024-01-06,Active
1946,Customer_1946,Retail,2024-11-27,Active
1947,Customer_1947,Retail,2024-07-27,Active
1948,Customer_1948,Enterprise,2024-11-02,Active
1949,Customer_1949,Enterprise,2024-08-14,Active
1950,Customer_1950,SMB,2024-06-14,Active
1951,Customer_1951,SMB,2024-04-21,Active
1952,Customer_1952,SMB,2024-08-03,Active
1953,Customer_1953,Retail,2024-03-14,Active
1954,Customer_1954,Enterprise,2024-11-20,Active
1955,Customer_1955,Retail,2024-01-25,Active
1956,Customer_1956,Retail,2024-08-24,Active
1957,Customer_1957,SMB,2024-10-06,Active
1958,Customer_1958,Retail,2024-07-22,Active
1959,Customer_1959,Retail,2024-09-19,Active
1960,Customer_1960,SMB,2024-03-03,Active
1961,Customer_1961,Retail,2024-10-19,Active
1962,Customer_1962,SMB,2024-09-20,Active
1963,Customer_1963,Retail,2024-07-14,Pending
1964,Customer_1964,Retail,2024-09-27,Active
1965,Customer_1965,Retail,2024-12-23,Active
1966,Customer_1966,Retail,2024-09-19,Active
1967,Customer_1967,SMB,2024-04-14,Active
1968,Customer_1968,Retail,2024-08-06,Active
1969,Customer_1969,SMB,2024-05-04,Active
1970,Customer_1970,Retail,2024-08-17,Active
1971,Customer_1971,SMB,2024-09-01,Active
1972,Customer_1972,Enterprise,2024-08-20,Active
1973,Customer_1973,SMB,2024-09-14,Active
1974,Customer_1974,Retail,2024-11-21,Active
1975,Customer_1975,Retail,2024-03-09,Dormant
1976,Customer_1976,Retail,2024-11-14,Active
1977,Customer_1977,SMB,2024-09-04,Active
1978,Customer_1978,Retail,2024-11-04,Active
1979,Customer_1979,Retail,2024-12-08,Active
1980,Customer_1980,SMB,2024-02-09,Active
1981,Customer_1981,Retail,2024-06-09,Active
1982,Customer_1982,SMB,2024-08-23,Active
1983,Customer_1983,Retail,2024-01-16,Active
1984,Customer_1984,Retail,2024-12-03,Active
1985,Customer_1985,SMB,2024-11-14,Active
1986,Customer_1986,Retail,2024-02-21,Pending
1987,Customer_1987,SMB,2024-05-05,Active
1988,Customer_1988,Retail,2024-04-05,Active
1989,Customer_1989,Retail,2024-03-12,Active
1990,Customer_1990,Enterprise,2024-01-21,Active
1991,Customer_1991,SMB,2024-09-09,Active
1992,Customer_1992,SMB,2024-04-03,Active
1993,Customer_1993,Retail,2024-01-02,Active
1994,Customer_1994,SMB,2024-08-01,Active
1995,Customer_1995,Retail,2024-08-13,Active
1996,Customer_1996,Retail,2024-07-15,Active
1997,Customer_1997,Enterprise,2024-08-12,Pending
1998,Customer_1998,Retail,2024-06-12,Active
1999,Customer_1999,VIP,2024-09-19,Active
2000,Customer_2000,Retail,2024-10-20,Active
