date,revenue,orders,customers
2024-01-01,10892.77,154,114
2024-01-02,9482.0,89,79
2024-01-03,11197.28,150,108
2024-01-04,13109.24,141,122
2024-01-05,9229.66,114,88
2024-01-06,6615.95,72,63
2024-01-07,10591.62,110,96
2024-01-08,11392.04,110,95
2024-01-09,8657.24,111,95
2024-01-10,10870.17,154,117
2024-01-11,8643.54,115,82
2024-01-12,8625.05,81,63
2024-01-13,7568.66,72,53
2024-01-14,2813.9,30,25
2024-01-15,5815.17,62,48
2024-01-16,8359.94,87,78
2024-01-17,7355.83,96,80
2024-01-18,10262.62,96,83
2024-01-19,7560.97,87,63
2024-01-20,3839.03,45,39
2024-01-21,10158.14,112,99
2024-01-22,9024.78,126,100
2024-01-23,9657.98,126,103
2024-01-24,6363.06,64,55
2024-01-25,8288.13,113,83
2024-01-26,9718.24,103,82
2024-01-27,4330.65,54,42
2024-01-28,7678.19,90,66
2024-01-29,8119.27,100,77
2024-01-30,8788.17,104,74
2024-01-31,8095.58,82,58
2024-02-01,13484.01,165,120
2024-02-02,9369.18,101,90
2024-02-03,4462.03,50,40
2024-02-04,8588.95,89,79
2024-02-05,6684.09,62,49
2024-02-06,9820.3,99,75
2024-02-07,5040.64,64,51
2024-02-08,6421.28,90,71
2024-02-09,9768.02,121,87
2024-02-10,8351.48,89,74
2024-02-11,7096.07,98,73
2024-02-12,9057.12,101,83
2024-02-13,8641.91,92,76
2024-02-14,6044.67,73,53
2024-02-15,7707.16,76,54
2024-02-16,8271.11,111,95
2024-02-17,9004.2,123,97
2024-02-18,7428.83,75,53
2024-02-19,5388.85,60,54
2024-02-20,9975.53,102,73
2024-02-21,8410.7,96,81
2024-02-22,7764.33,97,87
2024-02-23,10595.27,103,77
2024-02-24,8914.16,87,63
2024-02-25,8691.51,89,64
2024-02-26,7393.51,91,69
2024-02-27,8556.98,91,66
2024-02-28,9963.85,118,99
2024-02-29,11379.47,154,110
2024-03-01,8177.67,77,62
2024-03-02,6222.37,82,74
2024-03-03,4196.23,39,34
2024-03-04,6598.24,75,62
2024-03-05,11017.58,142,108
2024-03-06,12214.28,133,110
2024-03-07,9073.06,86,69
2024-03-08,11440.58,115,90
2024-03-09,7430.14,73,53
2024-03-10,5217.42,54,47
2024-03-11,10034.31,103,81
2024-03-12,12625.9,121,89
2024-03-13,9166.79,115,89
2024-03-14,12691.63,142,111
2024-03-15,3490.21,44,38
2024-03-16,8466.49,77,65
2024-03-17,6854.89,64,55
2024-03-18,8611.09,120,84
2024-03-19,9476.72,96,75
2024-03-20,4908.58,46,37
2024-03-21,8804.76,114,80
2024-03-22,10080.94,109,82
2024-03-23,9954.34,93,79
2024-03-24,5570.91,78,57
2024-03-25,7540.98,77,62
2024-03-26,8224.81,100,74
2024-03-27,11352.01,106,74
2024-03-28,10071.26,93,70
2024-03-29,8192.87,76,68
2024-03-30,7898.31,89,77
2024-03-31,6993.92,67,60
2024-04-01,11523.03,111,89
2024-04-02,7859.61,95,69
2024-04-03,8695.82,84,68
2024-04-04,8567.04,120,95
2024-04-05,6223.39,66,57
2024-04-06,7508.48,95,68
2024-04-07,7445.66,100,80
2024-04-08,9497.36,130,95
2024-04-09,8985.24,92,70
2024-04-10,6403.17,77,65
2024-04-11,8607.66,87,69
2024-04-12,8795.64,121,94
2024-04-13,5201.57,63,49
2024-04-14,6629.16,72,57
2024-04-15,10490.73,103,88
2024-04-16,13769.7,166,146
2024-04-17,10022.87,105,94
2024-04-18,10224.53,97,83
2024-04-19,9513.7,101,77
2024-04-20,2876.16,36,30
2024-04-21,7059.53,99,78
2024-04-22,9871.18,94,71
2024-04-23,15179.05,214,186
2024-04-24,9358.37,89,63
2024-04-25,10467.03,115,101
2024-04-26,9749.73,91,72
2024-04-27,4677.87,46,38
2024-04-28,9786.45,89,74
2024-04-29,11550.17,137,120
2024-04-30,11660.25,116,96
2024-05-01,7943.79,92,76
2024-05-02,13055.43,146,104
2024-05-03,6910.44,73,59
2024-05-04,8711.21,83,61
2024-05-05,12265.11,112,95
2024-05-06,7893.29,78,63
2024-05-07,8853.34,102,85
2024-05-08,10345.51,119,84
2024-05-09,9046.08,91,65
2024-05-10,6770.07,85,72
2024-05-11,7760.51,104,74
2024-05-12,5301.1,63,45
2024-05-13,11308.9,139,98
2024-05-14,8273.43,101,90
2024-05-15,13735.52,173,147
2024-05-16,8632.33,120,92
2024-05-17,9677.09,137,104
2024-05-18,9605.82,88,68
2024-05-19,5138.94,59,50
2024-05-20,10978.32,129,107
2024-05-21,13384.98,138,102
2024-05-22,7004.45,89,65
2024-05-23,10979.05,102,73
2024-05-24,11176.82,110,92
2024-05-25,9757.57,133,113
2024-05-26,5349.03,62,47
2024-05-27,7798.34,74,52
2024-05-28,11884.89,110,79
2024-05-29,11423.51,129,115
2024-05-30,11354.99,120,91
2024-05-31,11600.09,151,129
2024-06-01,6776.08,62,51
2024-06-02,8817.55,111,86
2024-06-03,11586.02,108,80
2024-06-04,9404.57,98,71
2024-06-05,15115.93,160,132
2024-06-06,12088.93,134,115
2024-06-07,8461.1,107,89
2024-06-08,9962.03,129,104
2024-06-09,6409.14,81,57
2024-06-10,12921.02,167,149
2024-06-11,13774.49,136,117
2024-06-12,9456.39,113,86
2024-06-13,13417.77,186,167
2024-06-14,12243.05,113,93
2024-06-15,10580.19,100,82
2024-06-16,12981.45,121,103
2024-06-17,10905.61,99,85
2024-06-18,9824.32,128,106
2024-06-19,9562.79,111,81
2024-06-20,9762.21,97,74
2024-06-21,11424.73,117,104
2024-06-22,9782.32,128,95
2024-06-23,9678.02,94,73
2024-06-24,13526.68,171,134
2024-06-25,11773.12,149,117
2024-06-26,14979.97,164,135
2024-06-27,11237.68,120,107
2024-06-28,17842.05,191,143
2024-06-29,10671.93,145,105
2024-06-30,7447.53,71,53
2024-07-01,9615.13,119,104
2024-07-02,13070.35,174,144
2024-07-03,11555.11,109,83
2024-07-04,13655.33,126,109
2024-07-05,13163.44,126,110
2024-07-06,9399.86,92,80
2024-07-07,7734.86,80,71
2024-07-08,8902.82,97,73
2024-07-09,11290.79,154,131
2024-07-10,14194.78,164,130
2024-07-11,12819.22,151,131
2024-07-12,9645.02,120,101
2024-07-13,10204.01,103,88
2024-07-14,10707.98,119,99
2024-07-15,10552.97,144,106
2024-07-16,12872.73,163,132
2024-07-17,12699.56,130,117
2024-07-18,10093.81,138,122
2024-07-19,13432.2,129,91
2024-07-20,11315.39,126,92
2024-07-21,12500.83,140,102
2024-07-22,15072.78,161,136
2024-07-23,9759.7,95,82
2024-07-24,10763.35,128,95
2024-07-25,13995.46,144,115
2024-07-26,14028.36,151,131
2024-07-27,11466.61,142,120
2024-07-28,18844.79,179,145
2024-07-29,14259.82,140,115
2024-07-30,15536.98,161,129
2024-07-31,15172.21,146,111
2024-08-01,14540.92,139,113
2024-08-02,12448.5,127,106
2024-08-03,12245.83,118,103
2024-08-04,8909.65,91,75
2024-08-05,12722.38,131,112
2024-08-06,12208.86,129,94
2024-08-07,13489.8,135,107
2024-08-08,18434.68,241,169
2024-08-09,9266.94,88,66
2024-08-10,12316.92,117,99
2024-08-11,7291.11,102,92
2024-08-12,12432.48,121,87
2024-08-13,15897.79,212,165
2024-08-14,13674.58,164,141
2024-08-15,11192.88,112,83
2024-08-16,12020.71,157,127
2024-08-17,12519.63,122,103
