customer_id,revenue,age,customer_segment
10001,534.42,20,SMB
10002,367.08,45,SMB
10003,345.34,46,Retail
10004,345.35,26,Retail
10005,924.92,20,Retail
10006,618.97,42,Enterprise
10007,295.67,51,Retail
10008,548.16,29,Retail
10009,462.24,59,SMB
10010,90.55,26,Retail
10011,199.66,32,Enterprise
10012,482.02,57,Retail
10013,877.13,42,Enterprise
10014,347.21,22,Retail
10015,280.92,28,Retail
10016,427.79,51,Retail
10017,270.18,41,Retail
10018,332.72,32,Enterprise
10019,396.7,55,Enterprise
10020,192.83,25,SMB
10021,637.2,22,Enterprise
10022,169.29,65,Retail
10023,154.89,43,SMB
10024,450.18,35,SMB
10025,609.52,23,SMB
10026,443.46,54,Retail
10027,372.34,65,Enterprise
10028,330.69,30,Retail
10029,297.44,45,SMB
10030,718.84,22,Retail
10031,484.75,30,Retail
10032,312.89,34,Enterprise
10033,256.04,67,Enterprise
10034,569.32,57,SMB
10035,709.42,62,Retail
10036,674.23,49,Retail
10037,227.64,46,Enterprise
10038,328.94,68,Retail
10039,293.73,75,Retail
10040,356.22,20,Retail
10041,633.86,73,Enterprise
10042,832.67,57,SMB
10043,495.28,51,SMB
10044,261.87,57,Retail
10045,391.29,44,SMB
10046,918.69,30,Enterprise
10047,421.7,62,Enterprise
10048,331.14,50,SMB
10049,348.57,23,SMB
10050,494.01,41,Retail
10051,232.85,36,SMB
10052,289.25,33,Retail
10053,668.73,57,Retail
10054,486.05,45,Enterprise
10055,424.25,50,Enterprise
10056,687.27,65,Enterprise
10057,251.5,58,Enterprise
10058,324.99,30,SMB
10059,477.01,60,Enterprise
10060,467.41,62,SMB
10061,143.82,42,Enterprise
10062,305.56,70,SMB
10063,361.78,59,Retail
10064,507.36,53,SMB
10065,466.46,44,SMB
10066,382.04,55,Enterprise
10067,90.05,24,SMB
10068,393.54,22,Retail
10069,414.94,60,Retail
10070,1357.59,62,Enterprise
10071,354.71,75,Retail
10072,478.5,74,SMB
10073,750.31,68,Retail
10074,613.9,48,Enterprise
10075,851.4,40,SMB
10076,145.5,59,Enterprise
10077,203.12,27,SMB
10078,276.7,49,Retail
10079,127.71,60,Enterprise
10080,417.03,70,Enterprise
10081,214.41,47,SMB
10082,912.44,56,Enterprise
10083,237.18,48,SMB
10084,326.18,35,SMB
10085,634.19,53,SMB
10086,167.91,19,SMB
10087,121.32,31,Retail
10088,446.95,30,SMB
10089,467.09,46,Enterprise
10090,623.69,29,Retail
10091,541.95,56,Enterprise
10092,477.25,19,Retail
10093,255.48,49,SMB
10094,459.63,30,Retail
10095,476.17,63,Retail
10096,249.3,44,Enterprise
10097,1053.17,66,Enterprise
10098,527.65,58,SMB
10099,205.6,34,Retail
10100,625.43,57,Retail
10101,685.42,48,Retail
10102,509.87,51,SMB
10103,342.85,41,SMB
10104,242.32,62,SMB
10105,381.41,52,SMB
10106,489.52,65,SMB
10107,403.19,23,Enterprise
10108,872.13,36,Retail
10109,573.66,47,Retail
10110,224.63,24,Retail
10111,190.85,27,Retail
10112,530.2,58,Retail
10113,347.72,49,Retail
10114,601.62,51,Retail
10115,527.48,45,Retail
10116,382.42,32,Enterprise
10117,226.37,47,Retail
10118,131.85,54,Enterprise
10119,454.77,46,SMB
10120,165.87,39,Retail
10121,220.21,21,SMB
10122,438.85,37,SMB
10123,414.43,49,SMB
10124,180.27,53,Enterprise
10125,728.26,67,SMB
10126,717.63,21,SMB
10127,539.89,44,SMB
10128,539.51,34,Retail
10129,539.89,29,Retail
10130,682.14,39,Enterprise
10131,581.71,34,Enterprise
10132,238.99,27,Retail
10133,344.75,71,Enterprise
10134,1277.04,18,Retail
10135,94.8,39,SMB
10136,295.18,43,SMB
10137,730.42,73,Enterprise
10138,249.12,35,Retail
10139,590.63,67,Retail
10140,411.27,31,Enterprise
10141,260.68,64,Retail
10142,80.75,46,SMB
10143,447.43,29,Enterprise
10144,235.58,53,Enterprise
10145,372.55,52,Retail
10146,536.88,69,Enterprise
10147,651.75,29,Retail
10148,294.58,24,Retail
10149,260.36,46,Retail
10150,163.82,28,Retail
10151,669.58,50,Retail
10152,1177.51,23,Enterprise
10153,709.94,64,SMB
10154,797.5,32,SMB
10155,250.49,49,Enterprise
10156,518.86,68,Enterprise
10157,621.33,28,SMB
10158,15.5,75,SMB
10159,197.89,40,SMB
10160,947.89,43,SMB
10161,142.0,51,SMB
10162,867.09,63,Retail
10163,141.3,51,Enterprise
10164,204.53,46,Retail
10165,524.2,21,SMB
10166,417.34,34,SMB
10167,312.85,52,SMB
10168,927.84,30,Retail
10169,166.96,58,Retail
10170,363.96,56,SMB
10171,562.11,32,Retail
10172,472.85,72,Retail
10173,266.04,46,SMB
10174,272.31,46,Retail
10175,646.29,28,Enterprise
10176,663.3,69,Enterprise
10177,480.09,49,Enterprise
10178,229.36,19,Enterprise
10179,277.88,64,SMB
10180,394.9,31,SMB
10181,429.43,37,SMB
10182,549.53,39,Enterprise
10183,352.49,28,Enterprise
10184,638.16,44,Retail
10185,634.19,20,Retail
10186,812.56,34,Enterprise
10187,405.17,61,Enterprise
10188,484.77,73,Enterprise
10189,368.96,45,Enterprise
10190,231.19,46,Retail
10191,1162.6,38,Enterprise
10192,756.02,64,Retail
10193,626.94,33,Enterprise
10194,397.01,54,Enterprise
10195,218.01,37,Enterprise
10196,689.55,23,Retail
10197,365.05,36,Retail
10198,509.91,74,SMB
10199,277.2,22,Enterprise
10200,463.05,20,SMB
10201,288.23,18,SMB
10202,295.36,75,Retail
10203,459.58,55,Retail
10204,139.81,32,SMB
10205,144.81,51,Enterprise
10206,248.56,52,Retail
10207,349.96,66,Enterprise
10208,649.01,42,Enterprise
10209,362.09,41,SMB
10210,395.48,29,SMB
10211,333.38,35,SMB
10212,484.37,32,SMB
10213,229.66,61,Retail
10214,373.95,33,Retail
10215,506.69,44,SMB
10216,457.44,25,Retail
10217,403.09,63,SMB
10218,406.03,42,Enterprise
10219,534.8,34,Enterprise
10220,1193.19,46,Enterprise
10221,239.94,70,SMB
10222,1211.88,25,Enterprise
10223,232.88,32,Retail
10224,72.71,44,Enterprise
10225,284.54,63,Enterprise
10226,489.69,67,Enterprise
10227,1058.03,69,Retail
10228,217.82,24,SMB
10229,533.0,20,Retail
10230,155.93,46,SMB
10231,1037.23,61,SMB
10232,764.04,70,Enterprise
10233,295.73,41,SMB
10234,831.72,75,Retail
10235,372.59,20,Retail
10236,786.26,37,SMB
10237,401.29,63,Enterprise
10238,411.62,32,Enterprise
10239,299.57,42,Retail
10240,572.79,47,Enterprise
10241,430.2,31,SMB
10242,539.71,24,SMB
