customer_id,revenue,transactions,tenure_days
1000001,444.1,39,1459
1000002,207.28,66,231
1000003,532.31,66,1687
1000004,1521.78,79,1789
1000005,184.75,32,1729
1000006,184.76,85,199
1000007,1627.92,22,701
1000008,614.57,99,264
1000009,139.3,33,1334
1000010,469.22,21,719
1000011,140.32,65,903
1000012,139.93,25,1591
1000013,327.13,46,1082
1000014,24.63,70,1383
1000015,30.88,69,1616
1000016,124.62,94,1545
1000017,72.57,38,152
1000018,356.77,8,1467
1000019,82.3,49,1723
1000020,44.94,28,1714
1000021,1420.52,44,947
1000022,186.62,74,212
1000023,265.35,24,617
1000024,44.27,56,1251
1000025,127.32,28,722
1000026,279.53,52,735
1000027,61.49,13,607
1000028,384.07,23,249
1000029,119.01,4,781
1000030,172.43,92,837
1000031,118.86,51,1232
1000032,2259.13,66,1240
1000033,240.76,19,1237
1000034,68.77,6,829
1000035,656.59,89,631
1000036,56.54,28,617
1000037,314.39,39,1450
1000038,23.3,89,666
1000039,49.71,65,755
1000040,309.89,22,600
1000041,593.57,12,1532
1000042,300.56,14,1233
1000043,212.99,34,997
1000044,170.49,47,396
1000045,41.5,48,831
1000046,103.15,79,33
1000047,140.78,70,946
1000048,870.05,44,1084
1000049,369.57,96,660
1000050,29.5,9,710
1000051,361.01,74,1799
1000052,154.15,60,524
1000053,108.6,42,584
1000054,509.8,36,232
1000055,843.2,11,1136
1000056,748.1,58,827
1000057,89.38,23,931
1000058,168.84,11,671
1000059,364.13,95,124
1000060,788.91,21,972
1000061,137.69,25,513
1000062,195.82,32,390
1000063,64.87,27,482
1000064,58.24,24,764
1000065,648.74,49,408
1000066,1245.74,68,916
1000067,224.44,36,897
1000068,815.86,10,1564
1000069,377.65,78,1239
1000070,112.83,93,1205
1000071,377.54,81,713
1000072,1549.43,10,1393
1000073,234.4,43,1768
1000074,1599.7,12,713
1000075,10.55,58,1346
1000076,656.08,17,310
1000077,271.63,33,1156
1000078,170.92,58,216
1000079,273.18,64,367
1000080,22.53,23,1134
1000081,187.99,30,50
1000082,375.6,3,1063
1000083,1441.55,98,928
1000084,131.38,81,1335
1000085,92.74,54,1632
1000086,134.01,64,317
1000087,733.98,77,833
1000088,363.04,66,428
1000089,129.58,21,1418
1000090,453.01,10,604
1000091,274.92,7,31
1000092,782.41,25,1160
1000093,105.38,91,1197
1000094,165.14,28,736
1000095,152.85,84,1386
1000096,42.26,34,271
1000097,349.1,67,360
1000098,334.71,6,354
1000099,246.2,83,1532
1000100,184.66,45,945
1000101,44.77,61,838
1000102,147.71,36,1712
1000103,162.19,86,1428
1000104,93.44,82,1189
1000105,201.63,56,741
1000106,397.37,41,935
1000107,2352.95,31,1041
1000108,301.72,41,1253
1000109,333.31,99,1386
1000110,223.78,30,1278
1000111,24.47,8,1488
1000112,237.03,6,1456
1000113,263.03,6,30
1000114,4702.69,96,529
1000115,194.25,52,364
1000116,351.38,6,1426
1000117,234.71,61,476
1000118,60.19,87,1647
1000119,964.29,69,144
1000120,603.24,5,767
1000121,632.22,2,1094
1000122,82.17,53,68
1000123,1317.32,5,1213
1000124,45.5,67,1592
1000125,494.84,96,1515
1000126,3389.87,60,1524
1000127,74.54,78,1746
1000128,124.02,15,779
1000129,275.77,9,1078
1000130,133.73,98,1177
1000131,38.06,35,1490
1000132,265.68,6,277
1000133,68.39,92,1045
1000134,431.95,50,1202
1000135,81.18,40,218
1000136,1571.71,64,709
1000137,95.59,61,96
1000138,166.26,38,388
1000139,649.51,56,921
1000140,55.87,34,1470
1000141,321.49,23,1618
1000142,1174.47,3,829
1000143,35.55,5,952
1000144,305.38,88,844
1000145,334.24,81,450
1000146,625.27,33,1465
1000147,55.46,96,454
1000148,50.17,42,1484
1000149,457.75,81,1083
1000150,349.46,25,350
1000151,330.49,75,1379
1000152,370.83,66,498
1000153,108.2,36,1701
1000154,323.34,7,88
1000155,347.82,86,1304
1000156,103.83,23,1247
1000157,2296.01,90,233
1000158,432.08,62,895
1000159,58.58,78,873
1000160,538.0,45,702
1000161,75.97,84,712
1000162,629.23,6,1435
1000163,982.71,1,877
1000164,91.39,25,1059
1000165,777.47,29,1167
1000166,401.55,26,790
1000167,656.2,88,568
1000168,2383.09,47,1376
1000169,182.28,83,1385
1000170,99.04,14,1408
1000171,84.15,42,621
1000172,91.93,39,134
1000173,223.07,60,432
1000174,368.48,6,1745
1000175,341.05,49,1247
1000176,660.25,24,1395
1000177,248.54,23,1377
1000178,1400.02,37,1262
1000179,178.11,76,547
1000180,6400.96,45,1789
1000181,518.43,8,1333
1000182,87.48,95,127
1000183,67.69,66,980
1000184,436.58,4,520
1000185,187.14,53,270
1000186,576.4,89,1413
1000187,431.77,35,1131
1000188,224.21,99,1325
1000189,88.57,11,902
1000190,39.73,20,858
1000191,143.19,87,281
1000192,683.81,49,1643
1000193,316.37,12,251
1000194,54.88,2,194
1000195,301.21,91,1193
1000196,388.53,44,1389
1000197,84.72,25,1466
1000198,294.26,41,1116
1000199,262.39,17,1714
1000200,62.08,70,491
1000201,375.91,96,162
1000202,479.59,92,1223
1000203,897.54,92,97
1000204,866.59,89,405
1000205,46.84,99,464
1000206,79.41,23,972
1000207,453.98,3,1054
1000208,453.3,56,1109
1000209,453.98,86,1093
1000210,24916.31,48,1606
1000211,485.45,90,1226
1000212,955.92,47,588
1000213,768.78,15,210
1000214,534.68,92,388
1000215,167.62,71,1722
1000216,608.36,17,919
1000217,96.8,36,1640
1000218,184.16,38,201
1000219,136.67,10,639
1000220,269.95,27,1369
1000221,3934.7,46,666
1000222,26.03,18,1662
1000223,557.53,89,333
1000224,35.33,45,208
1000225,138.89,70,1310
1000226,903.92,56,1365
1000227,264.31,14,1594
1000228,67.14,74,110
1000229,103.71,14,1761
1000230,553.09,13,1118
1000231,101.86,49,840
1000232,317.27,38,840
1000233,258.45,80,745
1000234,111.95,21,183
1000235,3205.85,30,597
1000236,523.59,40,1108
1000237,21.54,37,1056
1000238,306.05,83,113
1000239,110.59,81,687
1000240,680.56,22,397
1000241,94.54,17,985
1000242,213.22,62,1151
