order_id,customer_id,order_date,order_amount,payment_status
50001,1185,2025-01-06,117.01,Paid
50002,1520,2025-03-26,680.62,Paid
50003,1494,2025-01-22,106.87,Processing
50004,1316,2025-02-20,177.29,Paid
50005,1634,2025-03-17,27.75,Processing
50006,1250,2025-02-08,178.91,Paid
50007,1345,2025-03-25,306.0,Paid
50008,1675,2025-02-02,448.29,Paid
50009,1678,2025-02-22,908.33,Refunded
50010,1022,2025-01-27,69.73,Paid
50011,1671,2025-03-18,148.48,Paid
50012,1223,2025-01-21,109.87,Paid
50013,1161,2025-01-08,144.45,Paid
50014,1673,2025-01-25,45.7,Paid
50015,1750,2025-02-27,310.85,Paid
50016,1409,2025-03-16,380.48,Paid
50017,1231,2025-02-15,109.58,Paid
50018,1267,2025-01-09,69.37,Paid
50019,1805,2025-03-04,42.77,Paid
50020,1086,2025-01-01,192.69,Paid
50021,1581,2025-03-18,76.15,Paid
50022,1025,2025-03-23,380.42,Paid
50023,1810,2025-03-26,186.76,Paid
50024,1439,2025-02-25,175.64,Processing
50025,1209,2025-01-16,142.94,Paid
50026,1412,2025-03-16,27.03,Paid
50027,1360,2025-01-14,423.07,Paid
50028,1542,2025-01-12,168.3,Paid
50029,1724,2025-01-24,788.96,Paid
50030,1171,2025-01-24,135.62,Paid
50031,1171,2025-03-24,205.74,Processing
50032,1599,2025-01-04,28.68,Paid
50033,1119,2025-02-02,169.84,Paid
50034,1187,2025-02-02,237.0,Paid
50035,1070,2025-01-15,246.11,Paid
50036,1347,2025-02-26,240.52,Paid
50037,1625,2025-03-15,58.48,Processing
50038,1742,2025-02-20,575.74,Paid
50039,1393,2025-02-24,820.31,Paid
50040,1187,2025-03-26,31.79,Paid
50041,1021,2025-02-23,433.38,Paid
50042,1523,2025-01-09,71.26,Paid
50043,1559,2025-03-13,195.33,Paid
50044,1288,2025-02-17,81.9,Paid
50045,1287,2025-03-06,535.16,Paid
50046,1726,2025-02-02,36.05,Paid
50047,1555,2025-02-21,123.3,Paid
50048,1293,2025-01-18,103.8,Paid
50049,1611,2025-03-02,79.18,Paid
50050,1622,2025-01-14,175.57,Paid
50051,1084,2025-01-18,41.07,Paid
50052,1369,2025-03-10,209.17,Refunded
50053,1448,2025-03-27,611.31,Processing
50054,1262,2025-02-15,264.87,Processing
50055,1444,2025-03-09,314.93,Paid
50056,1554,2025-01-07,86.86,Paid
50057,1015,2025-02-03,78.93,Processing
50058,1820,2025-02-21,129.18,Paid
50059,1785,2025-02-23,27.02,Paid
50060,1514,2025-03-04,456.04,Refunded
50061,1426,2025-03-22,43.29,Paid
50062,1447,2025-03-17,369.98,Paid
50063,1575,2025-03-22,33.09,Paid
50064,1736,2025-03-15,279.42,Paid
50065,1362,2025-02-15,44.72,Paid
50066,1520,2025-02-07,25.83,Paid
50067,1610,2025-01-03,210.67,Paid
50068,1457,2025-02-17,69.33,Paid
50069,1720,2025-02-15,208.02,Paid
50070,1553,2025-01-06,141.48,Paid
50071,1109,2025-01-17,37.28,Paid
50072,1730,2025-02-24,423.52,Paid
50073,1222,2025-01-18,110.31,Paid
50074,1200,2025-01-05,218.89,Paid
50075,1818,2025-01-08,124.28,Paid
50076,1822,2025-03-23,159.09,Paid
50077,1610,2025-02-05,74.1,Paid
50078,1577,2025-02-27,53.54,Paid
50079,1554,2025-03-19,137.32,Paid
50080,1323,2025-03-14,107.03,Processing
50081,1189,2025-01-06,94.17,Processing
50082,1634,2025-01-19,187.47,Paid
50083,1368,2025-01-11,195.92,Paid
50084,1383,2025-02-04,27.05,Paid
50085,1278,2025-01-08,82.04,Paid
50086,1688,2025-02-27,99.59,Paid
50087,1010,2025-02-11,35.29,Paid
50088,1804,2025-03-11,60.36,Paid
50089,1433,2025-02-24,27.95,Paid
