transaction_id,customer_id,transaction_date,amount
1001,105,2024-01-01 00:51:56,220.94
1002,103,2024-01-01 10:47:50,140.55
1003,127,2024-01-01 12:03:59,80.15
1004,116,2024-01-01 14:29:49,88.51
1005,149,2024-01-01 15:22:15,50.59
1006,115,2024-01-01 18:46:56,182.37
1007,135,2024-01-01 19:06:46,101.31
1008,112,2024-01-01 19:16:43,61.43
1009,141,2024-01-02 04:55:47,123.78
1010,144,2024-01-02 12:32:40,669.86
1011,126,2024-01-02 15:37:40,83.57
1012,147,2024-01-02 20:27:12,319.13
1013,134,2024-01-03 09:26:50,65.78
1014,123,2024-01-04 06:16:11,21.75
1015,131,2024-01-04 08:47:33,42.42
1016,150,2024-01-04 11:10:46,80.1
1017,120,2024-01-04 13:48:38,44.76
1018,112,2024-01-04 19:19:49,15.03
1019,123,2024-01-04 21:36:10,310.81
1020,104,2024-01-05 10:37:07,237.86
1021,123,2024-01-05 14:40:37,177.71
1022,148,2024-01-05 18:34:27,37.04
1023,148,2024-01-05 18:35:57,30.39
1024,101,2024-01-05 19:07:02,23.4
1025,125,2024-01-05 19:24:42,169.5
1026,102,2024-01-05 20:51:05,332.08
1027,130,2024-01-06 01:10:47,82.57
1028,103,2024-01-06 12:00:34,30.22
1029,121,2024-01-06 12:06:53,101.19
1030,125,2024-01-06 12:43:55,66.48
1031,120,2024-01-07 06:50:17,71.37
1032,149,2024-01-07 12:19:57,131.53
1033,122,2024-01-07 12:21:23,167.21
1034,121,2024-01-07 13:08:20,29.07
1035,133,2024-01-08 06:16:01,19.35
1036,138,2024-01-08 13:31:54,635.71
1037,115,2024-01-08 17:21:11,46.79
1038,146,2024-01-08 19:43:33,21.64
1039,115,2024-01-09 04:12:48,40.27
1040,146,2024-01-09 10:34:48,19.77
1041,125,2024-01-09 15:11:28,74.67
1042,121,2024-01-09 19:33:54,209.58
1043,124,2024-01-10 00:28:54,65.09
1044,105,2024-01-10 08:06:43,85.48
1045,106,2024-01-10 12:53:42,150.09
1046,149,2024-01-10 19:20:26,100.33
1047,143,2024-01-11 08:25:38,252.18
1048,148,2024-01-11 12:42:35,256.22
1049,144,2024-01-11 21:34:00,16.2
1050,147,2024-01-12 13:23:05,195.63
1051,123,2024-01-12 16:02:51,89.11
1052,104,2024-01-12 18:10:29,554.46
