customer_id,customer_pain_index,support_tickets,churn,transactions_per_month,engagement,tenure_days,revenue
10001,37.5,6,0,16.99,70.13,718,997.55
10002,95.1,15,1,6.01,27.55,1064,585.35
10003,73.2,11,1,7.92,26.27,582,461.82
10004,59.9,9,1,12.04,64.54,475,1047.47
10005,15.6,2,0,16.03,62.76,1167,1474.23
10006,15.6,2,0,20.66,96.02,735,1844.08
10007,5.8,1,0,21.83,94.24,225,1840.19
10008,86.6,13,1,6.07,30.47,889,408.06
10009,60.1,9,0,9.73,42.86,1376,618.8
10010,70.8,9,1,4.14,21.73,657,334.56
10011,2.1,1,0,16.73,80.54,1010,597.82
10012,97.0,15,1,2.77,2.94,659,301.44
10013,83.2,12,1,7.78,43.93,1218,811.29
10014,21.2,3,0,16.16,77.06,1305,988.58
10015,18.2,3,0,14.58,59.6,73,1181.18
10016,18.3,3,0,16.69,103.64,518,1901.0
10017,30.4,4,0,16.45,83.96,210,895.66
10018,52.5,8,0,13.18,61.65,1130,1276.1
10019,43.2,6,1,9.72,61.52,403,363.97
10020,29.1,4,0,15.38,93.16,657,1185.85
10021,61.2,9,1,8.06,37.16,986,883.03
10022,13.9,2,0,19.71,98.26,96,1569.98
10023,29.2,5,0,17.19,72.14,1145,1469.1
10024,36.6,6,0,12.71,59.46,808,1419.55
10025,45.6,7,0,11.63,53.73,680,1097.67
10026,78.5,12,1,7.3,36.98,1297,676.19
10027,20.0,3,0,12.5,63.49,370,1034.68
10028,51.4,8,1,12.96,68.09,932,1127.12
10029,59.2,9,1,10.57,53.23,1357,1081.66
10030,4.6,1,0,21.24,89.24,427,2509.1
10031,60.8,10,1,8.69,31.86,732,882.72
10032,17.1,3,0,16.2,72.02,126,1517.59
10033,6.5,1,0,16.01,73.88,1384,675.61
10034,94.9,15,1,3.76,29.08,1258,389.3
10035,96.6,14,1,3.15,2.91,478,303.15
10036,80.8,12,1,9.87,43.62,1471,980.47
10037,30.5,5,0,14.03,77.35,106,712.71
10038,9.8,1,0,18.78,87.0,925,2090.4
10039,68.4,10,1,8.97,47.89,578,347.64
10040,44.0,7,0,10.86,50.66,827,573.68
10041,12.2,2,0,17.83,88.28,1478,1598.85
10042,49.5,7,1,13.77,63.7,1482,1248.03
10043,3.4,0,0,17.07,88.94,844,993.46
10044,90.9,14,1,7.98,22.08,1051,743.23
10045,25.9,4,0,14.42,65.4,164,936.06
10046,66.3,10,1,9.1,46.79,683,273.14
10047,31.2,5,0,16.39,84.28,1307,731.56
