customer_id,days_as_customer,total_transactions,purchase_count,total_spent,days_since_last_purchase,customer_region,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score,customer_health_segment
CUST-10001,890,13,13,3005.53,180,Asia-Pacific,0.4382022471910112,231.1946153846154,101.31,low,Q3,2,2,4,8,Needs Attention
CUST-10002,1074,9,9,1511.71,32,Latin America,0.25139664804469275,167.96777777777777,42.22653631284916,low,Q2,5,1,2,8,Needs Attention
CUST-10003,151,23,23,3834.32,26,Europe,4.569536423841059,166.70956521739132,761.7854304635762,medium,Q4,5,4,4,13,Champions / VIP
CUST-10004,496,22,22,2545.89,25,Asia-Pacific,1.3306451612903225,115.72227272727272,153.9852822580645,low,Q3,5,4,3,12,Loyal Customers
CUST-10005,360,29,29,5634.4,331,Latin America,2.4166666666666665,194.28965517241377,469.5333333333333,medium,Q4,1,5,5,11,Loyal Customers
CUST-10006,117,5,5,722.71,23,Asia-Pacific,1.2820512820512822,144.542,185.31025641025641,low,Q1,5,1,1,7,Needs Attention
CUST-10007,901,28,28,4967.86,226,Europe,0.9322974472807991,177.42357142857142,165.41154273029966,low,Q4,2,4,5,11,Loyal Customers
CUST-10008,160,6,6,728.42,57,North America,1.125,121.40333333333332,136.57875,low,Q1,4,1,1,6,At-Risk / Churning
CUST-10009,799,21,21,3981.32,180,Asia-Pacific,0.7884856070087609,189.58666666666667,149.4863579474343,low,Q4,2,4,4,10,Loyal Customers
CUST-10010,373,13,13,2736.58,232,Latin America,1.0455764075067024,210.50615384615384,220.10026809651472,low,Q3,2,2,4,8,Needs Attention
CUST-10011,835,36,36,2086.13,343,Europe,1.2934131736526946,57.948055555555555,74.95077844311378,low,Q3,1,5,3,9,Needs Attention
CUST-10012,415,5,5,1062.05,287,North America,0.3614457831325301,212.41,76.77469879518071,low,Q1,1,1,2,4,At-Risk / Churning
CUST-10013,985,19,19,2784.77,64,Latin America,0.5786802030456852,146.56684210526316,84.81532994923857,low,Q3,4,3,4,11,Loyal Customers
CUST-10014,306,23,23,4946.15,232,Latin America,2.2549019607843137,215.04999999999998,484.9166666666667,medium,Q4,2,4,5,11,Loyal Customers
CUST-10015,489,13,13,1586.56,289,Latin America,0.7975460122699386,122.04307692307692,97.33496932515337,low,Q2,1,2,2,5,At-Risk / Churning
CUST-10016,51,19,19,2095.4,21,Asia-Pacific,11.176470588235295,110.28421052631579,1232.5882352941178,high,Q3,5,3,3,11,Loyal Customers
CUST-10017,282,12,12,2770.66,258,Europe,1.276595744680851,230.88833333333332,294.7510638297872,low,Q3,2,2,4,8,Needs Attention
CUST-10018,777,19,19,1548.75,18,Latin America,0.7335907335907337,81.51315789473684,59.7972972972973,low,Q2,5,3,2,10,Loyal Customers
CUST-10019,886,22,22,4728.85,175,Asia-Pacific,0.7449209932279909,214.9477272727273,160.11907449209932,low,Q4,3,4,5,12,Loyal Customers
CUST-10020,504,12,12,1606.86,229,Europe,0.7142857142857143,133.905,95.64642857142856,low,Q2,2,2,3,7,Needs Attention
CUST-10021,540,16,16,2250.74,226,Europe,0.8888888888888888,140.67125,125.04111111111109,low,Q3,2,3,3,8,Needs Attention
CUST-10022,729,3,3,283.22,84,Asia-Pacific,0.12345679012345678,94.40666666666668,11.655144032921811,low,Q1,4,1,1,6,At-Risk / Churning
CUST-10023,1005,13,13,2001.15,291,Asia-Pacific,0.3880597014925373,153.9346153846154,59.73582089552239,low,Q2,1,2,3,6,At-Risk / Churning
CUST-10024,219,7,7,687.21,179,Latin America,0.9589041095890412,98.17285714285715,94.13835616438357,low,Q1,2,1,1,4,At-Risk / Churning
CUST-10025,987,15,15,507.53,246,Europe,0.45592705167173253,33.83533333333333,15.426443768996961,low,Q1,2,3,1,6,At-Risk / Churning
CUST-10026,716,34,34,2930.79,110,North America,1.4245810055865922,86.19970588235294,122.79846368715083,low,Q3,3,5,4,12,Loyal Customers
