customer_id,revenue,customer_type,value_segment
11861,9887.23,Enterprise VIP,High-Value Enterprise (Top 25%)
10354,142.13,Retail/SMB,Low-Value Retail (Bottom 25%)
11334,190.94,Retail/SMB,Low-Value Retail (Bottom 25%)
10906,516.72,Retail/SMB,Mid-Market SMB (Middle 50%)
11290,289.25,Retail/SMB,Low-Value Retail (Bottom 25%)
11274,334.06,Retail/SMB,Mid-Market SMB (Middle 50%)
10939,1242.78,Retail/SMB,High-Value Enterprise (Top 25%)
11732,125.03,Retail/SMB,Low-Value Retail (Bottom 25%)
10066,401.5,Retail/SMB,Mid-Market SMB (Middle 50%)
11324,695.78,Retail/SMB,High-Value Enterprise (Top 25%)
10057,285.2,Retail/SMB,Low-Value Retail (Bottom 25%)
11293,302.76,Retail/SMB,Low-Value Retail (Bottom 25%)
11119,653.69,Retail/SMB,High-Value Enterprise (Top 25%)
10585,763.58,Retail/SMB,High-Value Enterprise (Top 25%)
10375,172.6,Retail/SMB,Low-Value Retail (Bottom 25%)
10276,371.96,Retail/SMB,Mid-Market SMB (Middle 50%)
10747,411.81,Retail/SMB,Mid-Market SMB (Middle 50%)
10129,536.16,Retail/SMB,Mid-Market SMB (Middle 50%)
11647,813.94,Retail/SMB,High-Value Enterprise (Top 25%)
11853,12428.65,Enterprise VIP,High-Value Enterprise (Top 25%)
10675,276.74,Retail/SMB,Low-Value Retail (Bottom 25%)
11665,230.73,Retail/SMB,Low-Value Retail (Bottom 25%)
11982,10486.89,Enterprise VIP,High-Value Enterprise (Top 25%)
11084,271.32,Retail/SMB,Low-Value Retail (Bottom 25%)
11923,7202.96,Enterprise VIP,High-Value Enterprise (Top 25%)
10100,607.31,Retail/SMB,Mid-Market SMB (Middle 50%)
11180,219.17,Retail/SMB,Low-Value Retail (Bottom 25%)
10965,456.36,Retail/SMB,Mid-Market SMB (Middle 50%)
10793,289.23,Retail/SMB,Low-Value Retail (Bottom 25%)
10030,683.91,Retail/SMB,High-Value Enterprise (Top 25%)
10629,676.02,Retail/SMB,High-Value Enterprise (Top 25%)
10945,392.55,Retail/SMB,Mid-Market SMB (Middle 50%)
10573,366.83,Retail/SMB,Mid-Market SMB (Middle 50%)
10908,562.69,Retail/SMB,Mid-Market SMB (Middle 50%)
11081,448.16,Retail/SMB,Mid-Market SMB (Middle 50%)
10451,560.48,Retail/SMB,Mid-Market SMB (Middle 50%)
