transactions_per_month,support_tickets,churn
16.99,6,0
6.01,15,1
7.92,11,1
12.04,9,1
16.03,2,0
20.66,2,0
21.83,1,0
6.07,13,1
9.73,9,0
4.14,9,1
16.73,1,0
2.77,15,1
7.78,12,1
16.16,3,0
14.58,3,0
16.69,3,0
16.45,4,0
13.18,8,0
9.72,6,1
15.38,4,0
8.06,9,1
19.71,2,0
17.19,5,0
12.71,6,0
11.63,7,0
7.3,12,1
12.5,3,0
12.96,8,1
10.57,9,1
21.24,1,0
8.69,10,1
16.2,3,0
16.01,1,0
3.76,15,1
3.15,14,1
9.87,12,1
14.03,5,0
18.78,1,0
8.97,10,1
10.86,7,0
17.83,2,0
13.77,7,1
17.07,0,0
7.98,14,1
14.42,4,0
9.1,10,1
16.39,5,0
10.87,8,1
11.87,8,0
16.6,2,0
5.71,14,1
3.61,11,1
2.25,14,1
7.81,13,1
13.11,9,0
4.35,13,1
18.18,2,0
17.65,2,0
20.71,1,0
11.06,5,0
12.4,6,0
15.26,4,0
8.98,11,1
19.65,5,0
15.33,5,0
9.05,9,1
18.69,2,0
10.61,12,1
19.1,1,0
3.38,14,1
10.33,12,1
18.35,3,0
17.87,1,0
8.53,13,1
11.39,11,1
11.43,11,1
8.3,12,1
18.17,0,0
17.08,5,0
15.84,2,0
7.93,13,1
7.91,9,1
17.17,5,0
18.53,1,0
17.87,5,0
16.11,5,0
6.61,11,1
13.29,10,1
9.79,14,1
14.68,7,0
16.68,2,0
8.69,11,1
8.88,11,1
10.17,8,0
11.82,11,1
12.88,8,0
6.75,8,0
14.27,6,0
18.92,1,0
18.23,2,0
18.79,1,0
12.07,10,1
17.52,5,0
12.94,7,0
5.71,13,1
16.18,4,0
13.88,7,0
7.06,12,1
17.73,4,0
19.77,2,0
18.73,4,0
20.09,2,0
4.68,14,1
9.52,12,1
8.6,10,1
8.32,14,1
6.91,12,1
15.15,3,0
7.17,13,1
6.56,8,0
4.39,12,1
6.2,13,1
15.39,5,0
17.61,1,0
13.42,3,0
11.96,6,0
8.51,12,1
8.25,13,1
19.86,0,0
14.65,8,1
14.53,7,0
15.17,3,0
17.64,2,0
12.13,5,0
5.64,14,1
17.38,4,0
13.59,7,1
12.26,11,1
13.94,6,0
8.12,14,1
5.18,14,1
19.17,4,0
12.5,7,0
16.9,5,0
18.68,4,0
19.06,1,0
11.29,9,1
15.04,8,0
18.96,1,0
13.18,4,0
10.66,14,1
15.47,3,0
18.14,2,0
14.97,7,0
4.0,15,1
14.35,3,0
10.43,9,1
4.99,11,1
15.86,5,0
9.57,11,1
13.94,6,0
7.43,9,0
13.69,10,1
12.17,8,1
21.51,1,0
6.95,13,1
13.43,5,0
17.74,3,0
18.96,1,0
8.78,9,1
12.78,10,1
18.51,0,0
8.64,8,0
19.26,3,0
9.31,10,1
16.17,3,0
6.11,10,1
17.68,5,1
3.37,14,1
18.05,2,0
16.71,5,0
19.14,2,0
6.01,14,1
3.44,14,1
14.51,3,0
10.48,10,1
6.17,12,1
12.08,8,1
13.42,8,1
